DATE,SOURCE,PORT,DESTINATION,FLAG,SEQ,ACK,WIN,OPTIONS,LENGTH
11:42:06.684129,190-0-175-100.gba.solunet.com.ar.2633,,184.107.43.74.http:,S,"1890826048:1890826168,",,"512,",,HTTP
11:42:06.684146,190-0-175-100.gba.solunet.com.ar.2634,,184.107.43.74.http:,S,"194243508:194243628,",,"512,",,HTTP
11:42:06.684162,190-0-175-100.gba.solunet.com.ar.2635,,184.107.43.74.http:,S,"205737932:205738052,",,"512,",,HTTP
11:42:06.684178,190-0-175-100.gba.solunet.com.ar.2636,,184.107.43.74.http:,S,"569721151:569721271,",,"512,",,HTTP
11:42:06.684194,190-0-175-100.gba.solunet.com.ar.2637,,184.107.43.74.http:,S,"855051032:855051152,",,"512,",,HTTP
11:42:06.684210,190-0-175-100.gba.solunet.com.ar.2638,,184.107.43.74.http:,S,"499983177:499983297,",,"512,",,HTTP
11:42:06.684227,190-0-175-100.gba.solunet.com.ar.2639,,184.107.43.74.http:,S,"1074718027:1074718147,",,"512,",,HTTP
11:42:06.684243,190-0-175-100.gba.solunet.com.ar.2640,,184.107.43.74.http:,S,"1910064303:1910064423,",,"512,",,HTTP
11:42:06.684260,190-0-175-100.gba.solunet.com.ar.2641,,184.107.43.74.http:,S,"1037178976:1037179096,",,"512,",,HTTP
11:42:06.684276,190-0-175-100.gba.solunet.com.ar.2642,,184.107.43.74.http:,S,"2107051510:2107051630,",,"512,",,HTTP
11:42:06.684292,190-0-175-100.gba.solunet.com.ar.2643,,184.107.43.74.http:,S,"338653346:338653466,",,"512,",,HTTP
11:42:06.684309,190-0-175-100.gba.solunet.com.ar.2644,,184.107.43.74.http:,S,"396310051:396310171,",,"512,",,HTTP
11:42:06.684325,190-0-175-100.gba.solunet.com.ar.2645,,184.107.43.74.http:,S,"196892786:196892906,",,"512,",,HTTP
11:42:06.684341,190-0-175-100.gba.solunet.com.ar.2646,,184.107.43.74.http:,S,"624912323:624912443,",,"512,",,HTTP
11:42:06.684357,190-0-175-100.gba.solunet.com.ar.2647,,184.107.43.74.http:,S,"1418281182:1418281302,",,"512,",,HTTP
11:42:06.684374,190-0-175-100.gba.solunet.com.ar.2648,,184.107.43.74.http:,S,"1247502939:1247503059,",,"512,",,HTTP
11:42:06.684390,190-0-175-100.gba.solunet.com.ar.2649,,184.107.43.74.http:,S,"97958320:97958440,",,"512,",,HTTP
11:42:06.684406,190-0-175-100.gba.solunet.com.ar.2650,,184.107.43.74.http:,S,"1359696980:1359697100,",,"512,",,HTTP
11:42:06.684423,190-0-175-100.gba.solunet.com.ar.2651,,184.107.43.74.http:,S,"349835797:349835917,",,"512,",,HTTP
